gender,age,occupation,education,income,children,ethnicity,ev_owner,ev_count,ev_motivation,ev_type,ev_model,ev_range,ev_experience,public_charging_frequency,charger_compatibility,home_type,home_charging_method,daily_trips,trip_purpose,parking_location,parking_duration,daily_distance,max_wait_time,preferred_charge_time,location_flexibility,weekly_charge_frequency,avg_charge_duration,info_preference,walking_distance,ac_vs_dc_preference,charger_choice_reason,travel_to_charger,satisfaction_score,memorable_experience,difficulty_finding_station,accessibility_importance,station_choice_factors,improvement_suggestions,facility_improvement_ideas,statements_agreement,user_involvement_belief,charging_effect_on_time,recharge_threshold,future_features,long_trip_planning,newcastle_distribution_rating,parking_habits_effect,parking_convenience,pc
Female,35-44,Employed,Master's degree,"Over £70,000",Yes - children aged 5 to 10 years old,White,Yes,1,Environmental concerns,Plug-in hybrid EV (powered by combination of rechargeable battery and gasoline engine or generator; includes range extenders),Mercedes Benz C Class,200-300 km,Less than 6 months,Weekly,CCS (Combined Charging System; or Combo 2; or SAE),Single family house/townhouse with dedicated parking,Standard wall electrical outlet (Level 1),1 to 2,"Work/School, Leisure",Home,5 to 8 hours,Less than 10km,10 to 20 minutes.,12am to 6am,Somewhat flexible (can be a minor detour),Every day to the week,More than 6 hours,Mobile app,Less than 1km,DC Charger,Duration of charge.,Less than 1km,3.0,not really,Yes,5.0,"Proximity to my destination, Availability of fast charging, Cost of charging",more charging stations,Increase the number of charging stations,It is more convenient to charge my vehicle only after ending my trips for the day.,Yes,Slightly increases travel time.,40% - 60%,somewhere to eat aswell,I plan my route entirely around charging stations.,3.0,I have to park further from my destination.,Much less convenient,TS1
Female,25-34,Employed,Bachelor's degree,"£50,001 - £70,000",No children aged 18 or under,White,Yes,1,Cost savings,Plug-in hybrid EV (powered by combination of rechargeable battery and gasoline engine or generator; includes range extenders),Kia Niro,200-300 km,6 months - 1 year,Never,Not sure,Single family house/townhouse with dedicated parking,I do not charge at home,3 to 4,"Work/School, Errands",Others,1 to 3 hours,50km to 100km,> 30 minutes.,6pm to 12am,Somewhat flexible (can be a minor detour),1 to 2 times,1 to 3 hours,Mobile app,1km to 2km,DC Charger,Duration of charge.,3km to 6km,4.0,,No,1.0,"Amenities available nearby (e.g., restrooms, shops)",Not sure ,Increase the number of charging stations,I charge my vehicle earlier in the day or later at night to avoid peak energy usage hours.,Yes,No impact on travel time.,20% - 40%,,I choose charging stations that are conveniently located along my preferred route.,2.0,No impact on my parking habits.,Slightly less convenient,NE9
Female,25-34,Employed,Bachelor's degree,"£20,000 - £35,000",No children aged 18 or under,White,Yes,1,Cost savings,Battery EV (exclusively powered by a rechargeable battery),Nissan Leaf,200-300 km,6 months - 1 year,Monthly,Not sure,Single family house/townhouse with dedicated parking,Standard wall electrical outlet (Level 1),1 to 2,Work/School,Home,5 to 8 hours,30km to 50km,10 to 20 minutes.,6pm to 12am,Somewhat flexible (can be a minor detour),3 to 4 times,1 to 3 hours,In-car navigation system,1km to 2km,DC Charger,Cost.,1km to 3km,2.0,"i was looking for a charging station for a period of time when i finally came across one. it was the only one near by and when i went to charge my car, the chargers were down and not working.",Yes,4.0,"Proximity to my destination, Availability of fast charging, Cost of charging",making them more accessible,Increase the number of charging stations,It is more convenient to charge my vehicle only after ending my trips for the day.,Not sure,Slightly increases travel time.,20% - 40%,more available and cheaper to the public making them more reliable,I choose charging stations that are conveniently located along my preferred route.,2.0,No impact on my parking habits.,No difference,TS2
Male,25-34,Employed,Some college,"Over £70,000",Yes - children aged under 5 years old,White,Yes,1,Cost savings,Battery EV (exclusively powered by a rechargeable battery),Tesla Model 3,200-300 km,1-3 years,Rarely,CCS (Combined Charging System; or Combo 2; or SAE),Single family house/townhouse without dedicated parking,Fixed/hard-wired Level 2 charging station,1 to 2,Others,Home,More than 8 hours,10km to 30km,< 10 minutes.,12am to 6am,Not flexible (must be very close to usual routes),Every day to the week,3 to 6 hours,In-car navigation system,1km to 2km,AC Charger,Cost.,1km to 3km,5.0,Tesla super charger in Solihull. Quick charging and always empty. ,Yes,5.0,"Availability of fast charging, Cost of charging",Cheaper ,Increase the number of charging stations,It is more convenient to charge my vehicle directly after ending every trip.,Yes,No impact on travel time.,Above 80%,Cheaper and more availability.,I only consider charging stations as a backup plan o d. I do not consider charging stations in my route planning.,3.0,No impact on my parking habits.,Slightly more convenient,DH7
Female,25-34,Employed,Bachelor's degree,"Over £70,000",No children aged 18 or under,Asian / Asian British,Yes,1,Cost savings,Battery EV (exclusively powered by a rechargeable battery),Other (please specify),200-300 km,1-3 years,Rarely,Supercharger (Tesla),Single family house/townhouse with dedicated parking,Standard wall electrical outlet (Level 1),1 to 2,"Work/School, Returning Home",Home,5 to 8 hours,30km to 50km,10 to 20 minutes.,6pm to 12am,Somewhat flexible (can be a minor detour),1 to 2 times,3 to 6 hours,Mobile app,1km to 2km,DC Charger,Duration of charge.,1km to 3km,2.0,Nearly ran out of charge due to trying multiple charging stations which turned out to be closed,Yes,5.0,"Proximity to my destination, Availability of fast charging, Cost of charging, Safety and security of the location",More availability,Increase the number of charging stations,I charge my vehicle earlier in the day or later at night to avoid peak energy usage hours.,Yes,Slightly increases travel time.,20% - 40%,Maybe some sort of waiting area/cafe if chargers are slower,I choose charging stations that are conveniently located along my preferred route.,2.0,No impact on my parking habits.,Slightly less convenient,NE2
Female,25-34,Employed,Bachelor's degree,"£50,001 - £70,000",Yes - children aged under 5 years old,White,Yes,1,Government incentives,Plug-in hybrid EV (powered by combination of rechargeable battery and gasoline engine or generator; includes range extenders),Other (please specify),Less than 100 km,1-3 years,Rarely,Not sure,Single family house/townhouse with dedicated parking,I do not charge at home,3 to 4,"Work/School, Leisure, Errands, Returning Home",Home,3 to 5 hours,30km to 50km,< 10 minutes.,6am to 12pm,Not flexible (must be very close to usual routes),1 to 2 times,1 to 3 hours,In-car navigation system,Less than 1km,DC Charger,Duration of charge.,Less than 1km,3.0,Over charged me and didn't charge my car properly ,No,2.0,"Proximity to my destination, Availability of fast charging, Cost of charging",Free while you shopped,Provide incentives for EV owners to share private charging stations,I charge my vehicle when I need to regardless of peak energy usage hours.,Yes,No impact on travel time.,Below 20%,"WiFi, vending machine toilets nearby",I only consider charging stations as a backup plan o d. I do not consider charging stations in my route planning.,3.0,I can park closer to my destination.,Slightly more convenient,NE2
Male,35-44,Employed,Bachelor's degree,"£20,000 - £35,000",No children aged 18 or under,White,Yes,1,Cost savings,Battery EV (exclusively powered by a rechargeable battery),Other (please specify),400-500 km,6 months - 1 year,Weekly,CCS (Combined Charging System; or Combo 2; or SAE),Single family house/townhouse without dedicated parking,I do not charge at home,1 to 2,Work/School,Home,More than 8 hours,30km to 50km,< 10 minutes.,6am to 12pm,Somewhat flexible (can be a minor detour),1 to 2 times,More than 6 hours,Mobile app,1km to 2km,DC Charger,Duration of charge.,3km to 6km,3.0,"nothing particularly notable, i stopped for a charge on a long journey, having taken a detour and found the charger was offline, and the app didnt reflect that, so i had to have a significant detour, and nearly ran out of power",Yes,4.0,"Proximity to my destination, Availability of fast charging, Cost of charging, Amenities available nearby (e.g., restrooms, shops)","more availability, better reporting of functionality",Increase the number of charging stations,I will wait to charge my vehicle when the cost is at its lowest.,Yes,Slightly increases travel time.,40% - 60%,advance booking perhaps?,I choose charging stations that are conveniently located along my preferred route.,3.0,I can park closer to my destination.,Much more convenient,NE1
Male,25-34,Employed,Bachelor's degree,"£20,000 - £35,000",No children aged 18 or under,Black / African / Caribbean / Black British,Yes,1,Other (please specify),Battery EV (exclusively powered by a rechargeable battery),Other (please specify),Less than 100 km,Less than 6 months,Weekly,CHAdeMO,Rental apartment in high-rise building,Shared DC fast charger,1 to 2,Leisure,Home,More than 8 hours,Less than 10km,> 30 minutes.,6pm to 12am,Flexible (can be a major detour),1 to 2 times,1 to 3 hours,Mobile app,Less than 1km,DC Charger,Availability of charger on-route.,Less than 1km,4.0,Getting to the charging station with ease and see how people are adopting electric vehicles.,No,4.0,"Proximity to my destination, Availability of fast charging, User-friendly interface, Safety and security of the location, Amenities available nearby (e.g., restrooms, shops), Environmental considerations (e.g., renewable energy sources)",Increase of number of charging points,Increase the number of charging stations,I charge my vehicle when I need to regardless of peak energy usage hours.,Yes,Slightly reduces travel time.,20% - 40%,Fast charging,I choose charging stations that are conveniently located along my preferred route.,4.0,No impact on my parking habits.,Much more convenient,NE1
Female,25-34,Employed,Bachelor's degree,"Over £70,000",No children aged 18 or under,White,Yes,1,Environmental concerns,Battery EV (exclusively powered by a rechargeable battery),Other (please specify),200-300 km,Less than 6 months,Weekly,Not sure,Single family house/townhouse with dedicated parking,Standard wall electrical outlet (Level 1),1 to 2,Work/School,Home,3 to 5 hours,Less than 10km,< 10 minutes.,6pm to 12am,Somewhat flexible (can be a minor detour),3 to 4 times,1 to 3 hours,In-car navigation system,Less than 1km,DC Charger,Duration of charge.,3km to 6km,1.0,It was plugged in three hours and charged 3%,Yes,5.0,"Availability of fast charging, Cost of charging, User-friendly interface",If they were more frequent,Improve reliability and maintenance of existing stations,I charge my vehicle when I need to regardless of peak energy usage hours.,Yes,Slightly reduces travel time.,20% - 40%,Faster charging with more cars per unit,I plan my route entirely around charging stations.,1.0,I have to park further from my destination.,Much less convenient,NE6
Male,25-34,Employed,Bachelor's degree,"£20,000 - £35,000",No children aged 18 or under,Black / African / Caribbean / Black British,Yes,1,Cost savings,Plug-in hybrid EV (powered by combination of rechargeable battery and gasoline engine or generator; includes range extenders),BMW 3 Series c.,Less than 100 km,6 months - 1 year,Weekly,CCS (Combined Charging System; or Combo 2; or SAE),Single family house/townhouse with dedicated parking,Standard wall electrical outlet (Level 1),3 to 4,"Work/School, Leisure, Errands",Home,5 to 8 hours,Less than 10km,10 to 20 minutes.,12am to 6am,Somewhat flexible (can be a minor detour),3 to 4 times,1 to 3 hours,Mobile app,Less than 1km,AC Charger,Duration of charge.,Less than 1km,4.0,,No,4.0,"Proximity to my destination, Availability of fast charging, User-friendly interface, Safety and security of the location",,Enhance user experience through better signage and information,I charge my vehicle earlier in the day or later at night to avoid peak energy usage hours.,Yes,Slightly reduces travel time.,20% - 40%,,I choose charging stations that are conveniently located along my preferred route.,3.0,I can park closer to my destination.,Slightly more convenient,WF1
Male,35-44,Employed,Bachelor's degree,"£20,000 - £35,000",No children aged 18 or under,Black / African / Caribbean / Black British,Yes,1,Cost savings,Plug-in hybrid EV (powered by combination of rechargeable battery and gasoline engine or generator; includes range extenders),Toyota Prius,Less than 100 km,Less than 6 months,Weekly,CHAdeMO,Rental apartment in high-rise building,I do not charge at home,1 to 2,Work/School,Home,1 to 3 hours,10km to 30km,< 10 minutes.,6pm to 12am,Not flexible (must be very close to usual routes),3 to 4 times,1 to 3 hours,Mobile app,2km to 3km,DC Charger,Duration of charge.,3km to 6km,4.0,A day I was done charging was trying to pay and there was payment process issues made me got to work late.,Yes,5.0,"Availability of fast charging, Safety and security of the location",Standardized payment method and high power chargers for quick top-ups and also transparent pricing.,Increase the number of charging stations,It is more convenient to charge my vehicle only after ending my trips for the day.,Yes,No impact on travel time.,20% - 40%,High fast chargers for quick top-ups and a conducive waiting area. ,I only consider charging stations as a backup plan o d. I do not consider charging stations in my route planning.,4.0,No impact on my parking habits.,Much more convenient,NE1
Male,18-24,Employed,Master's degree,"Over £70,000",No children aged 18 or under,White,Yes,1,Other (please specify),Plug-in hybrid EV (powered by combination of rechargeable battery and gasoline engine or generator; includes range extenders),Tesla Model X,200-300 km,Less than 6 months,Weekly,Not sure,Single family house/townhouse with dedicated parking,Standard wall electrical outlet (Level 1),1 to 2,Leisure,Home,3 to 5 hours,Less than 10km,10 to 20 minutes.,6am to 12pm,Not flexible (must be very close to usual routes),1 to 2 times,3 to 6 hours,Mobile app,Less than 1km,DC Charger,Duration of charge.,1km to 3km,3.0,Negative- waiting for an hour,Yes,3.0,"Proximity to my destination, Availability of fast charging, Cost of charging, User-friendly interface, Safety and security of the location",Have cafes next to them,Increase the number of charging stations,It is more convenient to charge my vehicle directly after ending every trip.,Yes,Slightly reduces travel time.,20% - 40%,Cafe next to them,I plan my route entirely around charging stations.,2.0,I have to park further from my destination.,No difference,NE2
Male,45-54,Employed,Bachelor's degree,"£35,001 - £50,000",Yes - children aged under 5 years old,Black / African / Caribbean / Black British,Yes,1,Cost savings,Battery EV (exclusively powered by a rechargeable battery),Tesla Model S,200-300 km,6 months - 1 year,Rarely,Supercharger (Tesla),Single family house/townhouse with dedicated parking,Standard wall electrical outlet (Level 1),3 to 4,"Work/School, Errands, Returning Home",Home,More than 8 hours,10km to 30km,10 to 20 minutes.,12am to 6am,Not flexible (must be very close to usual routes),1 to 2 times,3 to 6 hours,In-car navigation system,Less than 1km,DC Charger,Duration of charge.,1km to 3km,2.0,There wher lots of people waiting to charge,No,4.0,"Availability of fast charging, Cost of charging, Amenities available nearby (e.g., restrooms, shops)",Having lots of charging ports and in a seat out area,Increase the number of charging stations,It is more convenient to charge my vehicle only after ending my trips for the day.,Yes,Increases travel time significantly.,40% - 60%,To be built in a leisure area where you can pass rime while charging ,I only consider charging stations as a backup plan o d. I do not consider charging stations in my route planning.,3.0,No impact on my parking habits.,No difference,TS24
Male,45-54,Employed,Bachelor's degree,"£20,000 - £35,000",No children aged 18 or under,White,Yes,0,Technological interest,,BMW 5 Series,Less than 100 km,,Weekly,CCS (Combined Charging System; or Combo 2; or SAE),Rental apartment in high-rise building,Portable Level 2 charging station,1 to 2,Leisure,Home,More than 8 hours,10km to 30km,> 30 minutes.,6am to 12pm,Not flexible (must be very close to usual routes),1 to 2 times,Less than 1 hour,,1km to 2km,AC Charger,,Less than 1km,3.0,NEGATIVE,,5.0,Proximity to my destination,MORE OPTIONS,Allow for longer charging sessions,,Yes,,Below 20%,WATER,I plan my route entirely around charging stations.,3.0,I have to park further from my destination.,Much more convenient,DL14
Female,25-34,Employed,Master's degree,"£50,001 - £70,000",Yes - children aged under 5 years old,Black / African / Caribbean / Black British,Yes,1,Environmental concerns,Plug-in hybrid EV (powered by combination of rechargeable battery and gasoline engine or generator; includes range extenders),Toyota Prius,100-200 km,6 months - 1 year,Weekly,My EV is not capable of DC fast charging,"Rental apartment in low-rise building (e.g., duplex, triplex, basement apartment)",Standard wall electrical outlet (Level 1),3 to 4,Work/School,Home,5 to 8 hours,30km to 50km,20 to 30 minutes.,12am to 6am,Somewhat flexible (can be a minor detour),5 to 6 times,3 to 6 hours,Mobile app,1km to 2km,DC Charger,Duration of charge.,3km to 6km,3.0,I had a low battery on my way to work. I branched at a charging station but unfortunately I met two cars ahead of me. I pleaded so I can charge my car because I was running late for work. ,Yes,5.0,"Proximity to my destination, Availability of fast charging, Cost of charging, User-friendly interface, Safety and security of the location, Amenities available nearby (e.g., restrooms, shops), Environmental considerations (e.g., renewable energy sources)",Ability to use mobile application to track nearest charging stations.,Improve reliability and maintenance of existing stations,It is more convenient to charge my vehicle only after ending my trips for the day.,Yes,Slightly increases travel time.,Below 20%,"Easy payment options
Comfortable waiting areas",I choose charging stations that are conveniently located along my preferred route.,3.0,I have to park further from my destination.,Slightly less convenient,SR4
Male,18-24,Student,Bachelor's degree,"Over £70,000",No children aged 18 or under,White,Yes,1,Environmental concerns,Battery EV (exclusively powered by a rechargeable battery),Audi e-tron #,300-400 km,1-3 years,Monthly,Not sure,Single family house/townhouse with dedicated parking,Fixed/hard-wired Level 2 charging station,1 to 2,"Leisure, Errands",Workplace,1 to 3 hours,10km to 30km,10 to 20 minutes.,12pm to 6pm,Somewhat flexible (can be a minor detour),1 to 2 times,1 to 3 hours,Mobile app,1km to 2km,DC Charger,Duration of charge.,6km to 9km,2.0,Charging stations that are not functioning properly and they are the only one in the area,Yes,4.0,"Proximity to my destination, Amenities available nearby (e.g., restrooms, shops)","More chargers available, instead of just one or two",Increase the number of charging stations,I charge my vehicle when I need to regardless of peak energy usage hours.,Yes,Increases travel time significantly.,20% - 40%,"wifi availability in remote areas, vending machines",I choose charging stations that are conveniently located along my preferred route.,3.0,No impact on my parking habits.,Much less convenient,DH1
Non-binary,18-24,Employed,Bachelor's degree,"£20,000 - £35,000",No children aged 18 or under,White,Yes,1,Environmental concerns,Battery EV (exclusively powered by a rechargeable battery),Volkswagen e-Golf,200-300 km,Less than 6 months,Monthly,CCS (Combined Charging System; or Combo 2; or SAE),Single family house/townhouse with dedicated parking,Fixed/hard-wired Level 2 charging station,1 to 2,"Leisure, Errands",Home,1 to 3 hours,Less than 10km,10 to 20 minutes.,6pm to 12am,Somewhat flexible (can be a minor detour),1 to 2 times,1 to 3 hours,In-car navigation system,1km to 2km,DC Charger,Duration of charge.,1km to 3km,2.0,I was running low on battery but luckily a friend who also owns an EV let me know of a nearby charging station,Yes,2.0,"Proximity to my destination, Amenities available nearby (e.g., restrooms, shops)",More locations/easily accesible,Increase the number of charging stations,I charge my vehicle earlier in the day or later at night to avoid peak energy usage hours.,Yes,Slightly increases travel time.,Below 20%,HAve them in locations which have various shops/leisure activites nearby,I choose charging stations that are conveniently located along my preferred route.,3.0,I have to park further from my destination.,Slightly more convenient,NE2
Male,35-44,Employed,Bachelor's degree,"Over £70,000",Yes - children aged 11 to 15 years old,White,Yes,1,Cost savings,Battery EV (exclusively powered by a rechargeable battery),Other (please specify),100-200 km,1-3 years,Rarely,CCS (Combined Charging System; or Combo 2; or SAE),Single family house/townhouse with dedicated parking,Standard wall electrical outlet (Level 1),3 to 4,"Work/School, Leisure, Errands",Home,5 to 8 hours,10km to 30km,< 10 minutes.,12pm to 6pm,Not flexible (must be very close to usual routes),5 to 6 times,More than 6 hours,Mobile app,Less than 1km,DC Charger,Duration of charge.,Less than 1km,4.0,Unable to take payment with my card which then took ages to resolve,No,4.0,"Proximity to my destination, Availability of fast charging, Cost of charging, Amenities available nearby (e.g., restrooms, shops)",Costs and number of working chargers,Improve reliability and maintenance of existing stations,It is more convenient to charge my vehicle only after ending my trips for the day.,Yes,No impact on travel time.,20% - 40%,Easier to start the charging process and more consistency,I choose charging stations that are conveniently located along my preferred route.,3.0,No impact on my parking habits.,No difference,DL1
Female,35-44,Employed,Bachelor's degree,"£50,001 - £70,000",No children aged 18 or under,White,Yes,1,Cost savings,Battery EV (exclusively powered by a rechargeable battery),Renault Zoe,100-200 km,More than 3 years,Rarely,CCS (Combined Charging System; or Combo 2; or SAE),Single family house/townhouse with dedicated parking,Fixed/hard-wired Level 2 charging station,1 to 2,Errands,Home,5 to 8 hours,Less than 10km,10 to 20 minutes.,6pm to 12am,Somewhat flexible (can be a minor detour),3 to 4 times,3 to 6 hours,Mobile app,Less than 1km,DC Charger,Duration of charge.,3km to 6km,4.0,On a tri[ to Glasgow a year ago we had to stop in three different locations miles apart to find a charger that wasn’t in use,Yes,4.0,"Availability of fast charging, Cost of charging, Amenities available nearby (e.g., restrooms, shops)",Just ensure they’re working,Increase the number of charging stations,It is more convenient to charge my vehicle only after ending my trips for the day.,Yes,Slightly increases travel time.,40% - 60%,Make them faster,I choose charging stations that are conveniently located along my preferred route.,3.0,I can park closer to my destination.,Much more convenient,NE3
Female,35-44,Employed,Bachelor's degree,"Over £70,000",No children aged 18 or under,White,Yes,1,Cost savings,Battery EV (exclusively powered by a rechargeable battery),Mercedes Benz A Class,300-400 km,1-3 years,Weekly,CCS (Combined Charging System; or Combo 2; or SAE),Single family house/townhouse with dedicated parking,Fixed/hard-wired Level 2 charging station,1 to 2,"Work/School, Leisure, Errands",Home,5 to 8 hours,30km to 50km,10 to 20 minutes.,12am to 6am,Somewhat flexible (can be a minor detour),1 to 2 times,3 to 6 hours,Mobile app,Less than 1km,DC Charger,Duration of charge.,3km to 6km,2.0,Charger stopped midway through charge for no reason,Yes,5.0,Proximity to my destination,Better infrastructure,Increase the number of charging stations,It is more convenient to charge my vehicle only after ending my trips for the day.,Yes,Increases travel time significantly.,20% - 40%,Near toilets,I choose charging stations that are conveniently located along my preferred route.,3.0,I have to park further from my destination.,No difference,TS2
Female,25-34,Employed,High school diploma,"£50,001 - £70,000",No children aged 18 or under,White,Yes,1,Cost savings,Plug-in hybrid EV (powered by combination of rechargeable battery and gasoline engine or generator; includes range extenders),Tesla Model X,400-500 km,6 months - 1 year,Weekly,Supercharger (Tesla),Single family house/townhouse with dedicated parking,I do not charge at home,3 to 4,"Work/School, Errands",Home,5 to 8 hours,30km to 50km,< 10 minutes.,6am to 12pm,Not flexible (must be very close to usual routes),1 to 2 times,3 to 6 hours,Mobile app,Less than 1km,DC Charger,Duration of charge.,1km to 3km,1.0,,Yes,2.0,"Proximity to my destination, Availability of fast charging, Cost of charging",,Increase the number of charging stations,I choose to charge my vehicle regardless of the cost.,Yes,Slightly increases travel time.,20% - 40%,,I choose charging stations that are conveniently located along my preferred route.,3.0,No impact on my parking habits.,No difference,NE1
Male,18-24,Student,Bachelor's degree,"Over £70,000",No children aged 18 or under,White,Yes,1,Environmental concerns,Battery EV (exclusively powered by a rechargeable battery),Other (please specify),200-300 km,1-3 years,Weekly,CCS (Combined Charging System; or Combo 2; or SAE),Single family house/townhouse with dedicated parking,Fixed/hard-wired Level 2 charging station,3 to 4,"Work/School, Leisure, Errands",Home,More than 8 hours,30km to 50km,10 to 20 minutes.,12am to 6am,Somewhat flexible (can be a minor detour),Every day to the week,More than 6 hours,In-car navigation system,Less than 1km,DC Charger,Duration of charge.,3km to 6km,2.0,"Often, especially in my area, car parks and service stations with electric chargers will be out of order. I've inquired several times to these service stations and have had replies telling me that they have deliberately put them out of use as not enough people were using them. On one occasion, I was informed that the company supplying the chargers had gone bankrupt and so the chargers were not working anymore. (In regards to the question concerning what model of EV I owned, I was unable to type in the other section and so will indicate here. I own a VW ID3.)",Yes,2.0,"Proximity to my destination, Availability of fast charging",To be able to use them without downloading numerous different apps on my phone.,Increase the number of charging stations,It is more convenient to charge my vehicle directly after ending every trip.,Yes,Slightly increases travel time.,Below 20%,"Increased maintenance is vital. Often, chargers do not work or are out of order.",I choose charging stations that are conveniently located along my preferred route.,3.0,I have to park further from my destination.,Slightly less convenient,YO1
Female,45-54,Unemployed,Bachelor's degree,"£20,000 - £35,000",Yes - children aged 5 to 10 years old,White,Yes,1 - Peugeot 2008 GT,Cost savings,Battery EV (exclusively powered by a rechargeable battery),Other (please specify),100-200 km,Less than 6 months,Monthly,CCS (Combined Charging System; or Combo 2; or SAE),Single family house/townhouse with dedicated parking,Fixed/hard-wired Level 2 charging station,3 to 4,Errands,Home,1 to 3 hours,10km to 30km,10 to 20 minutes.,12am to 6am,Somewhat flexible (can be a minor detour),1 to 2 times,More than 6 hours,Mobile app,1km to 2km,DC Charger,,3km to 6km,3.0,"Negative experiences with people parking their  EV in a charging space near a shop entrance, but not using it to charge their car, just as a parking spot.",Yes,5.0,"Proximity to my destination, Availability of fast charging, Safety and security of the location, Amenities available nearby (e.g., restrooms, shops)",Having the option to just tap a payment card rather than download an app for every different company.,Increase the number of charging stations,I will wait to charge my vehicle when the cost is at its lowest.,Not sure,Increases travel time significantly.,20% - 40%,"Toilets, convenience store or vending machines",I choose charging stations that are conveniently located along my preferred route.,3.0,No impact on my parking habits.,Slightly more convenient,SR4
Male,45-54,Employed,Bachelor's degree,"Over £70,000",Yes - children aged 11 to 15 years old,White,Yes,1,Environmental concerns,Battery EV (exclusively powered by a rechargeable battery),Mercedes Benz A Class,400-500 km,6 months - 1 year,Rarely,Not sure,Single family house/townhouse with dedicated parking,Fixed/hard-wired Level 2 charging station,1 to 2,"Work/School, Leisure",Home,More than 8 hours,10km to 30km,< 10 minutes.,12am to 6am,Not flexible (must be very close to usual routes),Every day to the week,1 to 3 hours,In-car navigation system,Less than 1km,DC Charger,Duration of charge.,1km to 3km,2.0,Mostly negative due to technical issues/lack of availability/cost way too high.,Yes,3.0,"Proximity to my destination, Availability of fast charging",More fast chargers with higher availability,Increase the number of charging stations,I charge my vehicle earlier in the day or later at night to avoid peak energy usage hours.,Not sure,No impact on travel time.,60% - 80%,None - just more availability and reduced cost.,I only consider charging stations as a backup plan o d. I do not consider charging stations in my route planning.,2.0,No impact on my parking habits.,No difference,DH1
Male,18-24,Employed,Bachelor's degree,"£20,000 - £35,000",No children aged 18 or under,Mixed,Yes,1,Cost savings,Plug-in hybrid EV (powered by combination of rechargeable battery and gasoline engine or generator; includes range extenders),Toyota Prius,Less than 100 km,Less than 6 months,Weekly,CCS (Combined Charging System; or Combo 2; or SAE),Single family house/townhouse with dedicated parking,Standard wall electrical outlet (Level 1),1 to 2,"Work/School, Errands",Home,5 to 8 hours,Less than 10km,10 to 20 minutes.,6am to 12pm,Somewhat flexible (can be a minor detour),3 to 4 times,1 to 3 hours,Online map,1km to 2km,DC Charger,Duration of charge.,1km to 3km,3.0,,Yes,4.0,"Proximity to my destination, Availability of fast charging, Cost of charging",Increase availability,Increase the number of charging stations,It is more convenient to charge my vehicle only after ending my trips for the day.,Yes,Increases travel time significantly.,Below 20%,,I choose charging stations that are conveniently located along my preferred route.,3.0,I have to park further from my destination.,Much more convenient,NE2
Female,25-34,Self-employed,Bachelor's degree,"£50,001 - £70,000",Yes - children aged under 5 years old,White,Yes,1,Environmental concerns,Battery EV (exclusively powered by a rechargeable battery),Tesla Model 3,300-400 km,6 months - 1 year,Weekly,Supercharger (Tesla),Single family house/townhouse without dedicated parking,Standard wall electrical outlet (Level 1),1 to 2,Work/School,Home,3 to 5 hours,10km to 30km,< 10 minutes.,6pm to 12am,Not flexible (must be very close to usual routes),3 to 4 times,Less than 1 hour,Online map,Less than 1km,DC Charger,Duration of charge.,Less than 1km,3.0,having no spare chargers,Yes,5.0,"Proximity to my destination, Availability of fast charging, Cost of charging",more chargers,Increase the number of charging stations,I charge my vehicle earlier in the day or later at night to avoid peak energy usage hours.,Not sure,Increases travel time significantly.,Below 20%,not sure,I choose charging stations that are conveniently located along my preferred route.,4.0,No impact on my parking habits.,Slightly less convenient,DH8
Male,25-34,Employed,Bachelor's degree,"£50,001 - £70,000",Yes - children aged under 5 years old,White,Yes,1,Technological interest,Battery EV (exclusively powered by a rechargeable battery),Hyundai Ioniq,200-300 km,1-3 years,Rarely,CCS (Combined Charging System; or Combo 2; or SAE),Single family house/townhouse with dedicated parking,Fixed/hard-wired Level 2 charging station,1 to 2,"Work/School, Errands, Returning Home",Home,More than 8 hours,10km to 30km,10 to 20 minutes.,12am to 6am,Somewhat flexible (can be a minor detour),1 to 2 times,3 to 6 hours,In-car navigation system,Less than 1km,AC Charger,Availability of charger at the end of next trip.,1km to 3km,2.0,One station being full and having to drive an extra 3 miles to get to the next with low battery,Yes,5.0,"Proximity to my destination, Availability of fast charging, Amenities available nearby (e.g., restrooms, shops)",Not require lots of apps,Increase the number of charging stations,It is more convenient to charge my vehicle only after ending my trips for the day.,Yes,Slightly increases travel time.,20% - 40%,Pay directly from card,I choose charging stations that are conveniently located along my preferred route.,3.0,No impact on my parking habits.,Slightly more convenient,TS1
